WSS1 WSS2 WSSadd WSSdrop split throughput time totalTraffic trafficSuccessNum
0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 1 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 2 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 3 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 4 0.0 0.0
0.0 1.0 1.0 0.0 0.0 4.0 5 1.0 1.0
1.0 1.0 1.0 0.0 1.0 8.0 6 2.0 2.0
1.0 1.0 1.0 0.0 1.0 8.0 7 2.0 2.0
2.0 2.0 1.0 0.0 2.0 40.0 8 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 9 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 10 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 11 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 12 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 13 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 14 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 15 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 16 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 17 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 18 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 19 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 20 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 21 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 22 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 23 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 24 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 25 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 26 3.0 3.0
2.0 2.0 1.0 0.0 2.0 40.0 27 3.0 3.0
2.0 2.0 1.0 0.0 2.0 72.0 28 4.0 4.0
2.0 2.0 1.0 0.0 2.0 72.0 29 4.0 4.0
2.0 2.0 1.0 0.0 2.0 72.0 30 4.0 4.0
2.0 2.0 1.0 0.0 2.0 72.0 31 4.0 4.0
2.0 2.0 2.0 0.0 2.0 75.0 32 5.0 5.0
2.0 2.0 2.0 0.0 2.0 75.0 33 5.0 5.0
2.0 2.0 2.0 0.0 2.0 75.0 34 5.0 5.0
2.0 2.0 2.0 0.0 2.0 75.0 35 5.0 5.0
2.0 2.0 2.0 0.0 2.0 79.0 36 6.0 6.0
2.0 2.0 2.0 0.0 2.0 79.0 37 6.0 6.0
2.0 2.0 2.0 0.0 2.0 79.0 38 6.0 6.0
3.0 2.0 2.0 1.0 2.0 87.0 39 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 40 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 41 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 42 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 43 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 44 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 45 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 46 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 47 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 48 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 49 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 50 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 51 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 52 7.0 7.0
3.0 2.0 2.0 1.0 2.0 87.0 53 7.0 7.0
3.0 3.0 3.0 1.0 2.0 90.0 54 8.0 8.0
3.0 3.0 3.0 1.0 2.0 90.0 55 8.0 8.0
2.0 3.0 3.0 1.0 1.0 58.0 56 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 57 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 58 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 59 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 60 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 61 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 62 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 63 7.0 7.0
2.0 3.0 3.0 1.0 1.0 58.0 64 7.0 7.0
2.0 3.0 3.0 1.0 1.0 90.0 65 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 66 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 67 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 68 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 69 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 70 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 71 8.0 8.0
2.0 3.0 3.0 1.0 1.0 90.0 72 8.0 8.0
2.0 3.0 3.0 1.0 1.0 122.0 73 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 74 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 75 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 76 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 77 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 78 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 79 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 80 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 81 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 82 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 83 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 84 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 85 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 86 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 87 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 88 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 89 9.0 9.0
2.0 3.0 3.0 1.0 1.0 122.0 90 9.0 9.0
3.0 3.0 3.0 1.0 2.0 130.0 91 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 92 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 93 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 94 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 95 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 96 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 97 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 98 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 99 10.0 10.0
3.0 3.0 3.0 1.0 2.0 130.0 100 10.0 10.0
3.0 4.0 4.0 1.0 2.0 138.0 101 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 102 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 103 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 104 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 105 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 106 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 107 11.0 11.0
3.0 4.0 4.0 1.0 2.0 138.0 108 11.0 11.0
3.0 4.0 4.0 1.0 2.0 146.0 109 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 110 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 111 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 112 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 113 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 114 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 115 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 116 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 117 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 118 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 119 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 120 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 121 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 122 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 123 12.0 12.0
3.0 4.0 4.0 1.0 2.0 146.0 124 12.0 12.0
4.0 4.0 4.0 2.0 2.0 150.0 125 13.0 13.0
4.0 4.0 4.0 2.0 2.0 150.0 126 13.0 13.0
4.0 4.0 4.0 2.0 2.0 182.0 127 14.0 14.0
4.0 4.0 4.0 2.0 2.0 182.0 128 14.0 14.0
4.0 4.0 4.0 2.0 2.0 182.0 129 14.0 14.0
4.0 4.0 4.0 2.0 2.0 182.0 130 14.0 14.0
4.0 4.0 4.0 2.0 2.0 182.0 131 14.0 14.0
4.0 4.0 4.0 2.0 2.0 182.0 132 14.0 14.0
4.0 4.0 4.0 2.0 2.0 190.0 133 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 134 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 135 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 136 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 137 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 138 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 139 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 140 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 141 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 142 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 143 15.0 15.0
4.0 4.0 4.0 2.0 2.0 190.0 144 15.0 15.0
4.0 4.0 4.0 2.0 2.0 193.0 145 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 146 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 147 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 148 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 149 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 150 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 151 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 152 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 153 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 154 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 155 16.0 16.0
4.0 4.0 4.0 2.0 2.0 193.0 156 16.0 16.0
3.0 4.0 4.0 2.0 1.0 189.0 157 15.0 15.0
3.0 4.0 4.0 2.0 1.0 189.0 158 15.0 15.0
3.0 4.0 4.0 2.0 1.0 189.0 159 15.0 15.0
3.0 4.0 4.0 2.0 1.0 189.0 160 15.0 15.0
3.0 4.0 4.0 2.0 1.0 189.0 161 15.0 15.0
3.0 4.0 4.0 2.0 1.0 189.0 162 15.0 15.0
4.0 4.0 4.0 3.0 1.0 192.0 163 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 164 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 165 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 166 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 167 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 168 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 169 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 170 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 171 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 172 16.0 16.0
4.0 4.0 4.0 3.0 1.0 192.0 173 16.0 16.0
