index	outport	cost	SuccessFlag
0	20.0	3.0	1.0
1	22.0	2.0	1.0
2	28.0	3.0	1.0
3	21.0	3.0	1.0
4	0.0	2.0	1.0
5	22.0	2.0	1.0
6	22.0	3.0	1.0
7	15.0	2.0	1.0
8	25.0	3.0	1.0
9	9.0	3.0	1.0
10	0.0	2.0	1.0
11	8.0	3.0	1.0
12	0.0	2.0	1.0
13	14.0	3.0	1.0
14	22.0	3.0	1.0
15	0.0	2.0	1.0
16	0.0	2.0	1.0
17	21.0	3.0	1.0
18	0.0	2.0	1.0
19	15.0	3.0	1.0
20	23.0	2.0	1.0
21	22.0	2.0	1.0
22	22.0	2.0	1.0
23	19.0	3.0	1.0
24	0.0	2.0	1.0
25	26.0	3.0	1.0
26	28.0	3.0	1.0
27	22.0	2.0	1.0
28	0.0	2.0	1.0
29	14.0	3.0	1.0
30	-1.0	0.0	-1.0
31	0.0	2.0	1.0
32	15.0	2.0	1.0
33	8.0	2.0	1.0
34	19.0	3.0	1.0
35	0.0	2.0	1.0
36	0.0	2.0	1.0
37	10.0	2.0	1.0
38	16.0	3.0	1.0
39	22.0	2.0	1.0
40	0.0	2.0	1.0
41	12.0	3.0	1.0
42	0.0	2.0	1.0
43	0.0	2.0	1.0
44	27.0	3.0	1.0
45	0.0	2.0	1.0
46	26.0	3.0	1.0
47	22.0	2.0	1.0
48	12.0	3.0	1.0
49	0.0	2.0	1.0
50	26.0	3.0	1.0
51	0.0	2.0	1.0
52	15.0	3.0	1.0
53	0.0	2.0	1.0
54	-1.0	0.0	-1.0
55	-1.0	0.0	-1.0
56	27.0	3.0	1.0
57	0.0	2.0	1.0
58	0.0	2.0	1.0
59	12.0	3.0	1.0
60	22.0	2.0	1.0
61	28.0	3.0	1.0
62	22.0	2.0	1.0
63	8.0	2.0	1.0
64	15.0	2.0	1.0
65	24.0	3.0	1.0
66	0.0	2.0	1.0
67	-1.0	0.0	-1.0
68	8.0	2.0	1.0
69	13.0	3.0	1.0
70	28.0	3.0	1.0
71	16.0	2.0	1.0
72	-1.0	0.0	-1.0
73	23.0	3.0	1.0
74	27.0	3.0	1.0
75	23.0	2.0	1.0
76	0.0	2.0	1.0
77	22.0	3.0	1.0
78	-1.0	0.0	-1.0
79	-1.0	0.0	-1.0
80	26.0	3.0	1.0
81	8.0	2.0	1.0
82	0.0	2.0	1.0
83	15.0	2.0	1.0
84	18.0	3.0	1.0
85	14.0	3.0	1.0
86	9.0	3.0	1.0
87	18.0	3.0	1.0
88	24.0	3.0	1.0
89	8.0	2.0	1.0
90	15.0	2.0	1.0
91	22.0	2.0	1.0
92	9.0	3.0	1.0
93	19.0	3.0	1.0
94	20.0	3.0	1.0
95	0.0	2.0	1.0
96	17.0	3.0	1.0
97	-1.0	0.0	-1.0
98	21.0	3.0	1.0
99	0.0	2.0	1.0
100	23.0	2.0	1.0
101	26.0	3.0	1.0
102	15.0	2.0	1.0
103	0.0	2.0	1.0
104	0.0	2.0	1.0
105	22.0	2.0	1.0
106	14.0	3.0	1.0
107	21.0	3.0	1.0
108	-1.0	0.0	-1.0
109	9.0	2.0	1.0
110	19.0	3.0	1.0
