index	outport	cost	SuccessFlag
0	20.0	3.0	1.0
1	0.0	2.0	1.0
2	19.0	3.0	1.0
3	27.0	3.0	1.0
4	0.0	2.0	1.0
5	0.0	2.0	1.0
6	17.0	3.0	1.0
7	25.0	3.0	1.0
8	15.0	2.0	1.0
9	22.0	3.0	1.0
10	26.0	3.0	1.0
11	0.0	2.0	1.0
12	0.0	2.0	1.0
13	-1.0	0.0	-1.0
14	0.0	2.0	1.0
15	17.0	3.0	1.0
16	0.0	2.0	1.0
17	0.0	2.0	1.0
18	8.0	3.0	1.0
19	0.0	2.0	1.0
20	8.0	2.0	1.0
21	9.0	3.0	1.0
22	-1.0	0.0	-1.0
23	8.0	2.0	1.0
24	22.0	2.0	1.0
25	15.0	2.0	1.0
26	20.0	3.0	1.0
27	13.0	3.0	1.0
28	0.0	2.0	1.0
29	15.0	2.0	1.0
30	8.0	2.0	1.0
31	14.0	3.0	1.0
32	28.0	3.0	1.0
33	22.0	2.0	1.0
34	21.0	3.0	1.0
35	27.0	3.0	1.0
36	11.0	3.0	1.0
37	27.0	3.0	1.0
38	26.0	3.0	1.0
39	22.0	2.0	1.0
40	0.0	2.0	1.0
41	10.0	3.0	1.0
42	10.0	2.0	1.0
43	14.0	3.0	1.0
44	0.0	2.0	1.0
45	28.0	3.0	1.0
46	23.0	3.0	1.0
47	15.0	2.0	1.0
48	0.0	2.0	1.0
49	22.0	2.0	1.0
50	15.0	2.0	1.0
51	23.0	2.0	1.0
52	17.0	3.0	1.0
53	0.0	2.0	1.0
54	-1.0	0.0	-1.0
55	14.0	3.0	1.0
56	23.0	3.0	1.0
57	22.0	2.0	1.0
58	0.0	2.0	1.0
59	-1.0	0.0	-1.0
60	8.0	2.0	1.0
61	0.0	2.0	1.0
62	-1.0	0.0	-1.0
63	18.0	3.0	1.0
64	0.0	2.0	1.0
65	-1.0	0.0	0.0
66	-1.0	0.0	0.0
67	0.0	2.0	1.0
68	-1.0	0.0	-1.0
69	0.0	2.0	1.0
70	23.0	3.0	1.0
71	16.0	3.0	1.0
72	0.0	2.0	1.0
73	28.0	3.0	1.0
74	8.0	2.0	1.0
75	23.0	3.0	1.0
76	8.0	3.0	1.0
77	0.0	2.0	1.0
78	27.0	3.0	1.0
79	11.0	3.0	1.0
80	-1.0	0.0	-1.0
81	13.0	3.0	1.0
82	28.0	3.0	1.0
83	12.0	3.0	1.0
84	22.0	2.0	1.0
85	0.0	2.0	1.0
86	0.0	2.0	1.0
87	10.0	3.0	1.0
88	0.0	2.0	1.0
89	23.0	3.0	1.0
90	-1.0	0.0	-1.0
91	8.0	2.0	1.0
92	20.0	3.0	1.0
93	19.0	3.0	1.0
94	-1.0	0.0	-1.0
95	-1.0	0.0	0.0
96	11.0	3.0	1.0
97	25.0	3.0	1.0
98	0.0	2.0	1.0
99	0.0	2.0	1.0
100	0.0	2.0	1.0
101	10.0	3.0	1.0
102	-1.0	0.0	-1.0
103	21.0	3.0	1.0
104	8.0	2.0	1.0
105	0.0	2.0	1.0
106	21.0	3.0	1.0
107	24.0	3.0	1.0
108	-1.0	0.0	-1.0
109	0.0	2.0	1.0
110	15.0	3.0	1.0
111	-1.0	0.0	-1.0
112	0.0	2.0	1.0
113	15.0	2.0	1.0
114	9.0	2.0	1.0
115	-1.0	0.0	-1.0
116	24.0	2.0	1.0
117	12.0	3.0	1.0
118	25.0	3.0	1.0
119	0.0	2.0	1.0
120	18.0	3.0	1.0
121	17.0	3.0	1.0
122	27.0	3.0	1.0
123	18.0	2.0	1.0
124	22.0	2.0	1.0
125	-1.0	0.0	0.0
126	16.0	3.0	1.0
127	16.0	2.0	1.0
128	-1.0	0.0	-1.0
129	17.0	2.0	1.0
130	24.0	2.0	1.0
131	15.0	2.0	1.0
132	17.0	3.0	1.0
133	0.0	2.0	1.0
134	0.0	2.0	1.0
135	-1.0	0.0	-1.0
136	16.0	3.0	1.0
137	-1.0	0.0	-1.0
138	15.0	2.0	1.0
139	-1.0	0.0	0.0
140	-1.0	0.0	0.0
141	0.0	2.0	1.0
142	-1.0	0.0	-1.0
143	22.0	2.0	1.0
144	15.0	2.0	1.0
145	-1.0	0.0	0.0
146	-1.0	0.0	0.0
147	-1.0	0.0	-1.0
148	11.0	3.0	1.0
149	8.0	2.0	1.0
150	22.0	2.0	1.0
151	20.0	3.0	1.0
152	-1.0	0.0	-1.0
153	-1.0	0.0	-1.0
154	0.0	2.0	1.0
155	-1.0	0.0	-1.0
156	22.0	2.0	1.0
157	27.0	3.0	1.0
158	18.0	3.0	1.0
159	0.0	2.0	1.0
160	18.0	3.0	1.0
161	0.0	2.0	1.0
162	23.0	3.0	1.0
163	24.0	3.0	1.0
164	9.0	2.0	1.0
165	-1.0	0.0	-1.0
166	24.0	3.0	1.0
167	15.0	2.0	1.0
168	12.0	3.0	1.0
169	12.0	3.0	1.0
170	-1.0	0.0	-1.0
171	-1.0	0.0	-1.0
172	13.0	3.0	1.0
173	0.0	2.0	1.0
174	19.0	3.0	1.0
175	15.0	2.0	1.0
176	20.0	3.0	1.0
177	26.0	3.0	1.0
178	-1.0	0.0	-1.0
179	19.0	3.0	1.0
180	0.0	2.0	1.0
181	8.0	2.0	1.0
182	26.0	3.0	1.0
183	24.0	2.0	1.0
184	-1.0	0.0	0.0
185	9.0	2.0	1.0
186	25.0	3.0	1.0
187	17.0	2.0	1.0
188	24.0	3.0	1.0
189	28.0	3.0	1.0
190	24.0	3.0	1.0
191	9.0	2.0	1.0
192	-1.0	0.0	-1.0
193	12.0	3.0	1.0
194	0.0	2.0	1.0
195	0.0	2.0	1.0
196	22.0	2.0	1.0
197	16.0	2.0	1.0
198	0.0	2.0	1.0
199	27.0	3.0	1.0
200	22.0	2.0	1.0
201	20.0	2.0	1.0
202	-1.0	0.0	-1.0
203	19.0	3.0	1.0
204	26.0	3.0	1.0
205	18.0	2.0	1.0
206	0.0	2.0	1.0
207	-1.0	0.0	-1.0
208	25.0	2.0	1.0
209	-1.0	0.0	-1.0
210	15.0	2.0	1.0
211	-1.0	0.0	-1.0
212	-1.0	0.0	-1.0
213	-1.0	0.0	-1.0
214	-1.0	0.0	-1.0
215	0.0	2.0	1.0
216	16.0	2.0	1.0
217	25.0	3.0	1.0
218	-1.0	0.0	-1.0
219	0.0	2.0	1.0
220	20.0	3.0	1.0
221	-1.0	0.0	-1.0
222	0.0	2.0	1.0
223	10.0	3.0	1.0
224	-1.0	0.0	-1.0
225	12.0	3.0	1.0
226	24.0	2.0	1.0
227	-1.0	0.0	-1.0
228	15.0	2.0	1.0
229	22.0	2.0	1.0
230	0.0	2.0	1.0
231	-1.0	0.0	-1.0
232	-1.0	0.0	-1.0
233	25.0	3.0	1.0
234	24.0	2.0	1.0
235	-1.0	0.0	-1.0
236	-1.0	0.0	-1.0
237	22.0	2.0	1.0
238	0.0	2.0	1.0
239	28.0	3.0	1.0
240	-1.0	0.0	-1.0
241	0.0	2.0	1.0
242	0.0	2.0	1.0
243	-1.0	0.0	-1.0
244	-1.0	0.0	-1.0
245	9.0	2.0	1.0
246	28.0	3.0	1.0
247	-1.0	0.0	-1.0
248	12.0	3.0	1.0
249	16.0	3.0	1.0
250	-1.0	0.0	-1.0
251	0.0	2.0	1.0
252	-1.0	0.0	-1.0
253	8.0	2.0	1.0
254	0.0	2.0	1.0
255	-1.0	0.0	0.0
256	-1.0	0.0	-1.0
257	8.0	2.0	1.0
258	-1.0	0.0	0.0
259	-1.0	0.0	0.0
260	0.0	2.0	1.0
261	10.0	3.0	1.0
262	-1.0	0.0	-1.0
263	24.0	2.0	1.0
264	20.0	3.0	1.0
265	-1.0	0.0	-1.0
266	-1.0	0.0	-1.0
267	-1.0	0.0	-1.0
268	0.0	2.0	1.0
269	-1.0	0.0	-1.0
270	27.0	3.0	1.0
271	0.0	2.0	1.0
272	-1.0	0.0	-1.0
273	-1.0	0.0	-1.0
274	9.0	2.0	1.0
275	-1.0	0.0	-1.0
276	-1.0	0.0	-1.0
277	-1.0	0.0	-1.0
278	22.0	2.0	1.0
279	-1.0	0.0	-1.0
280	8.0	2.0	1.0
281	-1.0	0.0	-1.0
282	13.0	3.0	1.0
283	-1.0	0.0	-1.0
284	9.0	2.0	1.0
285	22.0	2.0	1.0
286	22.0	2.0	1.0
287	0.0	2.0	1.0
288	11.0	2.0	1.0
289	0.0	2.0	1.0
290	25.0	3.0	1.0
291	-1.0	0.0	0.0
292	0.0	2.0	1.0
293	23.0	3.0	1.0
294	22.0	2.0	1.0
295	16.0	2.0	1.0
296	-1.0	0.0	-1.0
297	-1.0	0.0	-1.0
298	0.0	2.0	1.0
299	8.0	2.0	1.0
300	13.0	3.0	1.0
301	20.0	3.0	1.0
302	0.0	2.0	1.0
303	-1.0	0.0	-1.0
304	26.0	2.0	1.0
305	0.0	2.0	1.0
306	-1.0	0.0	-1.0
307	-1.0	0.0	-1.0
308	0.0	2.0	1.0
309	0.0	2.0	1.0
310	-1.0	0.0	-1.0
311	0.0	2.0	1.0
312	9.0	3.0	1.0
313	15.0	2.0	1.0
314	16.0	2.0	1.0
315	-1.0	0.0	0.0
316	12.0	2.0	1.0
317	-1.0	0.0	0.0
318	20.0	3.0	1.0
319	11.0	3.0	1.0
320	18.0	3.0	1.0
321	8.0	2.0	1.0
322	21.0	3.0	1.0
323	-1.0	0.0	0.0
324	-1.0	0.0	-1.0
325	11.0	2.0	1.0
326	20.0	2.0	1.0
327	-1.0	0.0	0.0
328	22.0	3.0	1.0
329	16.0	2.0	1.0
330	0.0	2.0	1.0
331	-1.0	0.0	-1.0
332	-1.0	0.0	-1.0
333	10.0	2.0	1.0
334	-1.0	0.0	0.0
335	13.0	3.0	1.0
336	13.0	3.0	1.0
337	28.0	3.0	1.0
338	-1.0	0.0	0.0
339	14.0	3.0	1.0
340	21.0	3.0	1.0
341	23.0	2.0	1.0
342	-1.0	0.0	0.0
343	0.0	2.0	1.0
344	24.0	3.0	1.0
345	-1.0	0.0	-1.0
346	0.0	2.0	1.0
347	-1.0	0.0	-1.0
348	24.0	2.0	1.0
349	-1.0	0.0	0.0
350	8.0	3.0	1.0
351	0.0	2.0	1.0
352	-1.0	0.0	-1.0
353	8.0	2.0	1.0
354	0.0	2.0	1.0
355	-1.0	0.0	-1.0
356	15.0	2.0	1.0
357	-1.0	0.0	0.0
358	-1.0	0.0	-1.0
359	18.0	3.0	1.0
360	8.0	2.0	1.0
361	0.0	2.0	1.0
362	23.0	3.0	1.0
363	0.0	2.0	1.0
364	-1.0	0.0	-1.0
365	26.0	3.0	1.0
366	9.0	2.0	1.0
367	-1.0	0.0	0.0
368	15.0	3.0	1.0
369	-1.0	0.0	-1.0
370	0.0	2.0	1.0
371	8.0	2.0	1.0
372	19.0	2.0	1.0
373	-1.0	0.0	-1.0
374	9.0	3.0	1.0
375	0.0	2.0	1.0
376	-1.0	0.0	-1.0
377	17.0	3.0	1.0
378	27.0	3.0	1.0
379	17.0	2.0	1.0
380	-1.0	0.0	-1.0
381	0.0	2.0	1.0
382	-1.0	0.0	-1.0
383	14.0	2.0	1.0
384	18.0	3.0	1.0
385	0.0	2.0	1.0
386	-1.0	0.0	-1.0
387	8.0	2.0	1.0
388	0.0	2.0	1.0
389	-1.0	0.0	-1.0
390	0.0	2.0	1.0
391	18.0	3.0	1.0
392	0.0	2.0	1.0
393	11.0	2.0	1.0
394	26.0	3.0	1.0
395	13.0	3.0	1.0
396	-1.0	0.0	-1.0
397	27.0	3.0	1.0
398	0.0	2.0	1.0
399	0.0	2.0	1.0
400	0.0	2.0	1.0
401	0.0	2.0	1.0
402	24.0	3.0	1.0
403	-1.0	0.0	-1.0
404	-1.0	0.0	-1.0
405	0.0	2.0	1.0
406	-1.0	0.0	0.0
407	21.0	3.0	1.0
408	10.0	2.0	1.0
409	-1.0	0.0	-1.0
410	-1.0	0.0	-1.0
411	8.0	2.0	1.0
412	0.0	2.0	1.0
413	-1.0	0.0	-1.0
414	19.0	2.0	1.0
415	26.0	2.0	1.0
416	0.0	2.0	1.0
417	8.0	2.0	1.0
