index	outport	cost	SuccessFlag
0	22.0	2.0	1.0
1	27.0	3.0	1.0
2	24.0	3.0	1.0
3	11.0	3.0	1.0
4	22.0	3.0	1.0
5	13.0	3.0	1.0
6	22.0	2.0	1.0
7	22.0	2.0	1.0
8	9.0	3.0	1.0
9	14.0	3.0	1.0
10	26.0	3.0	1.0
11	22.0	2.0	1.0
12	25.0	3.0	1.0
13	-1.0	0.0	-1.0
14	0.0	2.0	1.0
15	15.0	2.0	1.0
16	26.0	3.0	1.0
17	0.0	2.0	1.0
18	8.0	2.0	1.0
19	21.0	3.0	1.0
20	0.0	2.0	1.0
21	0.0	2.0	1.0
22	23.0	3.0	1.0
23	-1.0	0.0	-1.0
24	0.0	2.0	1.0
25	9.0	3.0	1.0
26	25.0	3.0	1.0
27	22.0	2.0	1.0
28	-1.0	0.0	-1.0
29	25.0	3.0	1.0
30	19.0	3.0	1.0
31	28.0	3.0	1.0
32	19.0	3.0	1.0
33	-1.0	0.0	-1.0
34	8.0	2.0	1.0
35	22.0	2.0	1.0
36	15.0	2.0	1.0
37	22.0	3.0	1.0
38	23.0	3.0	1.0
39	22.0	2.0	1.0
40	0.0	2.0	1.0
41	8.0	2.0	1.0
42	0.0	2.0	1.0
43	19.0	3.0	1.0
44	26.0	3.0	1.0
45	0.0	2.0	1.0
46	8.0	2.0	1.0
47	28.0	3.0	1.0
48	-1.0	0.0	0.0
49	8.0	3.0	1.0
50	23.0	3.0	1.0
51	16.0	3.0	1.0
52	0.0	2.0	1.0
53	8.0	2.0	1.0
54	8.0	3.0	1.0
55	11.0	3.0	1.0
56	-1.0	0.0	-1.0
57	8.0	2.0	1.0
58	0.0	2.0	1.0
59	8.0	3.0	1.0
60	14.0	3.0	1.0
61	0.0	2.0	1.0
62	-1.0	0.0	0.0
63	0.0	2.0	1.0
64	9.0	2.0	1.0
65	-1.0	0.0	-1.0
66	15.0	2.0	1.0
67	26.0	3.0	1.0
68	-1.0	0.0	0.0
69	0.0	2.0	1.0
70	17.0	3.0	1.0
71	16.0	3.0	1.0
72	24.0	2.0	1.0
73	0.0	2.0	1.0
74	0.0	2.0	1.0
75	26.0	2.0	1.0
76	27.0	3.0	1.0
77	27.0	3.0	1.0
78	28.0	3.0	1.0
79	21.0	3.0	1.0
80	0.0	2.0	1.0
81	-1.0	0.0	0.0
82	0.0	2.0	1.0
83	25.0	3.0	1.0
84	12.0	3.0	1.0
85	0.0	2.0	1.0
86	0.0	2.0	1.0
87	15.0	2.0	1.0
88	0.0	2.0	1.0
89	28.0	3.0	1.0
90	24.0	3.0	1.0
91	22.0	2.0	1.0
92	-1.0	0.0	-1.0
93	0.0	2.0	1.0
