index	outport	cost	SuccessFlag
0	15.0	2.0	1.0
1	10.0	3.0	1.0
2	15.0	2.0	1.0
3	0.0	2.0	1.0
4	22.0	2.0	1.0
5	8.0	2.0	1.0
6	16.0	3.0	1.0
7	23.0	3.0	1.0
8	22.0	2.0	1.0
9	0.0	2.0	1.0
10	16.0	2.0	1.0
11	22.0	2.0	1.0
12	11.0	3.0	1.0
13	8.0	2.0	1.0
14	0.0	2.0	1.0
15	20.0	3.0	1.0
16	15.0	3.0	1.0
17	0.0	2.0	1.0
18	11.0	3.0	1.0
19	0.0	2.0	1.0
20	0.0	2.0	1.0
21	15.0	2.0	1.0
22	8.0	2.0	1.0
23	0.0	2.0	1.0
24	25.0	3.0	1.0
25	0.0	2.0	1.0
26	27.0	3.0	1.0
27	17.0	3.0	1.0
28	14.0	3.0	1.0
29	19.0	3.0	1.0
30	15.0	2.0	1.0
31	12.0	3.0	1.0
32	0.0	2.0	1.0
33	15.0	3.0	1.0
34	14.0	3.0	1.0
35	0.0	2.0	1.0
36	0.0	2.0	1.0
37	-1.0	0.0	-1.0
38	9.0	3.0	1.0
39	0.0	2.0	1.0
40	25.0	3.0	1.0
41	28.0	3.0	1.0
42	11.0	3.0	1.0
43	-1.0	0.0	-1.0
44	8.0	3.0	1.0
45	0.0	2.0	1.0
46	16.0	3.0	1.0
47	-1.0	0.0	-1.0
48	20.0	3.0	1.0
49	16.0	3.0	1.0
50	24.0	3.0	1.0
51	21.0	3.0	1.0
52	26.0	3.0	1.0
53	22.0	3.0	1.0
54	-1.0	0.0	-1.0
55	22.0	2.0	1.0
56	0.0	2.0	1.0
57	0.0	2.0	1.0
58	-1.0	0.0	-1.0
59	26.0	3.0	1.0
60	0.0	2.0	1.0
61	20.0	3.0	1.0
62	0.0	2.0	1.0
63	15.0	2.0	1.0
64	22.0	2.0	1.0
65	0.0	2.0	1.0
66	0.0	2.0	1.0
67	22.0	2.0	1.0
68	19.0	3.0	1.0
69	9.0	2.0	1.0
70	15.0	3.0	1.0
71	8.0	3.0	1.0
72	24.0	3.0	1.0
73	12.0	3.0	1.0
74	10.0	2.0	1.0
75	0.0	2.0	1.0
76	0.0	2.0	1.0
77	9.0	3.0	1.0
78	0.0	2.0	1.0
79	22.0	2.0	1.0
80	23.0	2.0	1.0
81	8.0	2.0	1.0
82	8.0	2.0	1.0
83	10.0	3.0	1.0
84	26.0	3.0	1.0
85	8.0	3.0	1.0
86	10.0	3.0	1.0
87	24.0	2.0	1.0
88	22.0	3.0	1.0
89	18.0	3.0	1.0
90	9.0	3.0	1.0
91	-1.0	0.0	-1.0
92	0.0	2.0	1.0
93	18.0	3.0	1.0
94	9.0	3.0	1.0
95	0.0	2.0	1.0
96	0.0	2.0	1.0
97	19.0	3.0	1.0
98	22.0	2.0	1.0
99	0.0	2.0	1.0
100	0.0	0.0	0.0
