index	outport	cost	SuccessFlag
0	10.0	3.0	1.0
1	9.0	3.0	1.0
2	10.0	3.0	1.0
3	0.0	2.0	1.0
4	11.0	3.0	1.0
5	15.0	2.0	1.0
6	8.0	2.0	1.0
7	23.0	3.0	1.0
8	10.0	3.0	1.0
9	0.0	2.0	1.0
10	9.0	3.0	1.0
11	0.0	2.0	1.0
12	0.0	2.0	1.0
13	8.0	2.0	1.0
14	9.0	3.0	1.0
15	20.0	3.0	1.0
16	9.0	2.0	1.0
17	17.0	3.0	1.0
18	22.0	2.0	1.0
19	0.0	2.0	1.0
20	26.0	3.0	1.0
21	12.0	3.0	1.0
22	12.0	3.0	1.0
23	22.0	3.0	1.0
24	14.0	3.0	1.0
25	25.0	3.0	1.0
26	15.0	2.0	1.0
27	17.0	3.0	1.0
28	8.0	2.0	1.0
29	17.0	3.0	1.0
30	24.0	3.0	1.0
31	28.0	3.0	1.0
32	15.0	3.0	1.0
33	0.0	2.0	1.0
34	0.0	2.0	1.0
35	-1.0	0.0	-1.0
36	8.0	2.0	1.0
37	22.0	2.0	1.0
38	24.0	3.0	1.0
39	19.0	3.0	1.0
40	0.0	2.0	1.0
41	0.0	2.0	1.0
42	9.0	3.0	1.0
43	-1.0	0.0	0.0
44	24.0	3.0	1.0
45	22.0	3.0	1.0
46	-1.0	0.0	0.0
47	8.0	2.0	1.0
48	15.0	3.0	1.0
49	8.0	2.0	1.0
50	22.0	2.0	1.0
51	-1.0	0.0	0.0
52	-1.0	0.0	-1.0
53	21.0	3.0	1.0
54	0.0	2.0	1.0
55	28.0	3.0	1.0
56	28.0	3.0	1.0
57	0.0	2.0	1.0
58	0.0	2.0	1.0
59	16.0	2.0	1.0
60	-1.0	0.0	0.0
61	15.0	2.0	1.0
62	18.0	3.0	1.0
63	17.0	3.0	1.0
64	20.0	3.0	1.0
65	-1.0	0.0	-1.0
66	20.0	3.0	1.0
67	23.0	2.0	1.0
68	11.0	3.0	1.0
69	-1.0	0.0	0.0
70	21.0	3.0	1.0
71	24.0	2.0	1.0
72	22.0	3.0	1.0
73	8.0	2.0	1.0
74	0.0	2.0	1.0
75	-1.0	0.0	-1.0
76	0.0	2.0	1.0
77	10.0	3.0	1.0
78	0.0	2.0	1.0
79	23.0	3.0	1.0
80	0.0	2.0	1.0
81	11.0	3.0	1.0
82	-1.0	0.0	-1.0
83	14.0	3.0	1.0
84	-1.0	0.0	0.0
85	-1.0	0.0	-1.0
86	0.0	2.0	1.0
87	27.0	3.0	1.0
88	8.0	2.0	1.0
