index	outport	cost	SuccessFlag
0	16.0	3.0	1.0
1	15.0	3.0	1.0
2	10.0	3.0	1.0
3	0.0	2.0	1.0
4	15.0	2.0	1.0
5	15.0	3.0	1.0
6	14.0	3.0	1.0
7	0.0	2.0	1.0
8	12.0	3.0	1.0
9	0.0	2.0	1.0
10	0.0	2.0	1.0
11	0.0	2.0	1.0
12	10.0	3.0	1.0
13	15.0	2.0	1.0
14	8.0	2.0	1.0
15	9.0	3.0	1.0
16	0.0	2.0	1.0
17	12.0	3.0	1.0
18	-1.0	0.0	-1.0
19	0.0	2.0	1.0
20	8.0	2.0	1.0
21	0.0	2.0	1.0
22	8.0	2.0	1.0
23	0.0	2.0	1.0
24	27.0	3.0	1.0
25	28.0	3.0	1.0
26	26.0	3.0	1.0
27	26.0	3.0	1.0
28	19.0	3.0	1.0
29	0.0	2.0	1.0
30	8.0	2.0	1.0
31	0.0	2.0	1.0
32	25.0	3.0	1.0
33	0.0	2.0	1.0
34	18.0	3.0	1.0
35	23.0	3.0	1.0
36	11.0	3.0	1.0
37	23.0	3.0	1.0
38	0.0	2.0	1.0
39	22.0	2.0	1.0
40	0.0	2.0	1.0
41	27.0	3.0	1.0
42	8.0	2.0	1.0
43	-1.0	0.0	-1.0
44	19.0	3.0	1.0
45	22.0	2.0	1.0
46	9.0	2.0	1.0
47	-1.0	0.0	0.0
48	10.0	3.0	1.0
49	0.0	2.0	1.0
50	0.0	2.0	1.0
51	24.0	3.0	1.0
52	23.0	3.0	1.0
53	24.0	3.0	1.0
54	10.0	3.0	1.0
55	13.0	3.0	1.0
56	11.0	3.0	1.0
57	14.0	3.0	1.0
58	16.0	2.0	1.0
59	8.0	2.0	1.0
60	8.0	2.0	1.0
61	0.0	2.0	1.0
62	0.0	2.0	1.0
63	21.0	3.0	1.0
64	27.0	3.0	1.0
65	0.0	2.0	1.0
66	22.0	3.0	1.0
67	0.0	2.0	1.0
68	18.0	3.0	1.0
69	19.0	3.0	1.0
70	0.0	2.0	1.0
71	-1.0	0.0	-1.0
72	-1.0	0.0	-1.0
73	20.0	3.0	1.0
74	0.0	2.0	1.0
75	0.0	2.0	1.0
76	-1.0	0.0	0.0
77	-1.0	0.0	-1.0
78	22.0	3.0	1.0
79	0.0	2.0	1.0
80	23.0	3.0	1.0
81	10.0	3.0	1.0
82	20.0	3.0	1.0
83	15.0	2.0	1.0
84	0.0	2.0	1.0
85	10.0	3.0	1.0
86	0.0	2.0	1.0
87	0.0	2.0	1.0
88	0.0	2.0	1.0
89	0.0	2.0	1.0
90	14.0	3.0	1.0
91	17.0	2.0	1.0
92	27.0	3.0	1.0
93	-1.0	0.0	-1.0
94	18.0	3.0	1.0
95	0.0	2.0	1.0
96	20.0	3.0	1.0
97	22.0	2.0	1.0
98	0.0	2.0	1.0
99	-1.0	0.0	-1.0
100	17.0	3.0	1.0
101	20.0	3.0	1.0
102	0.0	2.0	1.0
103	0.0	2.0	1.0
104	25.0	3.0	1.0
105	25.0	3.0	1.0
106	9.0	2.0	1.0
107	22.0	3.0	1.0
108	17.0	3.0	1.0
109	23.0	3.0	1.0
110	20.0	3.0	1.0
111	0.0	2.0	1.0
112	0.0	2.0	1.0
113	0.0	2.0	1.0
114	22.0	2.0	1.0
115	21.0	3.0	1.0
116	19.0	3.0	1.0
117	9.0	2.0	1.0
118	11.0	3.0	1.0
119	26.0	3.0	1.0
120	8.0	3.0	1.0
121	0.0	2.0	1.0
122	11.0	2.0	1.0
123	-1.0	0.0	-1.0
124	-1.0	0.0	-1.0
125	16.0	2.0	1.0
126	16.0	2.0	1.0
127	18.0	3.0	1.0
128	13.0	3.0	1.0
129	22.0	3.0	1.0
130	15.0	2.0	1.0
131	8.0	3.0	1.0
132	-1.0	0.0	-1.0
133	-1.0	0.0	0.0
134	22.0	3.0	1.0
135	16.0	3.0	1.0
136	11.0	3.0	1.0
137	-1.0	0.0	-1.0
138	11.0	3.0	1.0
139	18.0	3.0	1.0
140	0.0	2.0	1.0
141	-1.0	0.0	0.0
142	-1.0	0.0	-1.0
143	22.0	2.0	1.0
144	21.0	3.0	1.0
145	15.0	2.0	1.0
146	23.0	2.0	1.0
147	22.0	3.0	1.0
148	-1.0	0.0	-1.0
149	-1.0	0.0	0.0
150	-1.0	0.0	-1.0
151	-1.0	0.0	-1.0
152	20.0	3.0	1.0
153	15.0	2.0	1.0
154	25.0	3.0	1.0
155	0.0	2.0	1.0
156	18.0	3.0	1.0
157	8.0	3.0	1.0
158	21.0	3.0	1.0
159	-1.0	0.0	-1.0
160	22.0	2.0	1.0
161	-1.0	0.0	0.0
162	0.0	2.0	1.0
163	0.0	2.0	1.0
164	-1.0	0.0	-1.0
165	-1.0	0.0	-1.0
166	-1.0	0.0	-1.0
167	-1.0	0.0	0.0
168	27.0	3.0	1.0
169	19.0	3.0	1.0
170	-1.0	0.0	-1.0
171	15.0	3.0	1.0
172	-1.0	0.0	0.0
173	-1.0	0.0	-1.0
174	-1.0	0.0	-1.0
175	13.0	3.0	1.0
176	0.0	2.0	1.0
177	0.0	2.0	1.0
178	-1.0	0.0	0.0
179	-1.0	0.0	-1.0
180	-1.0	0.0	-1.0
181	22.0	2.0	1.0
182	28.0	3.0	1.0
183	16.0	2.0	1.0
184	-1.0	0.0	-1.0
185	-1.0	0.0	0.0
186	0.0	2.0	1.0
187	-1.0	0.0	-1.0
188	-1.0	0.0	-1.0
189	24.0	2.0	1.0
190	-1.0	0.0	-1.0
191	14.0	3.0	1.0
192	-1.0	0.0	-1.0
193	23.0	3.0	1.0
194	16.0	3.0	1.0
195	16.0	2.0	1.0
196	-1.0	0.0	0.0
197	27.0	3.0	1.0
198	17.0	3.0	1.0
199	14.0	3.0	1.0
200	15.0	2.0	1.0
201	-1.0	0.0	0.0
202	0.0	2.0	1.0
203	-1.0	0.0	-1.0
204	9.0	2.0	1.0
205	-1.0	0.0	-1.0
206	17.0	2.0	1.0
207	-1.0	0.0	-1.0
208	-1.0	0.0	0.0
209	17.0	2.0	1.0
210	0.0	2.0	1.0
211	9.0	3.0	1.0
212	22.0	2.0	1.0
213	-1.0	0.0	0.0
214	-1.0	0.0	0.0
215	-1.0	0.0	-1.0
216	0.0	2.0	1.0
217	16.0	2.0	1.0
218	12.0	3.0	1.0
219	8.0	2.0	1.0
220	-1.0	0.0	-1.0
221	17.0	3.0	1.0
222	13.0	2.0	1.0
223	-1.0	0.0	0.0
224	-1.0	0.0	0.0
225	0.0	2.0	1.0
226	18.0	3.0	1.0
227	18.0	3.0	1.0
228	-1.0	0.0	-1.0
229	25.0	2.0	1.0
230	0.0	2.0	1.0
231	12.0	2.0	1.0
232	15.0	2.0	1.0
233	24.0	2.0	1.0
234	25.0	3.0	1.0
235	-1.0	0.0	-1.0
236	0.0	2.0	1.0
237	-1.0	0.0	-1.0
238	0.0	2.0	1.0
239	-1.0	0.0	-1.0
240	-1.0	0.0	-1.0
241	19.0	2.0	1.0
242	-1.0	0.0	-1.0
243	-1.0	0.0	-1.0
244	24.0	3.0	1.0
245	-1.0	0.0	0.0
246	-1.0	0.0	-1.0
247	17.0	2.0	1.0
248	8.0	2.0	1.0
249	20.0	3.0	1.0
250	-1.0	0.0	-1.0
251	20.0	3.0	1.0
252	28.0	3.0	1.0
253	17.0	2.0	1.0
254	-1.0	0.0	-1.0
255	9.0	2.0	1.0
256	-1.0	0.0	-1.0
257	-1.0	0.0	-1.0
258	9.0	2.0	1.0
259	0.0	2.0	1.0
260	-1.0	0.0	-1.0
261	15.0	2.0	1.0
262	22.0	2.0	1.0
263	-1.0	0.0	-1.0
264	-1.0	0.0	-1.0
265	26.0	3.0	1.0
266	21.0	3.0	1.0
267	26.0	2.0	1.0
268	12.0	3.0	1.0
269	-1.0	0.0	-1.0
270	0.0	2.0	1.0
271	15.0	2.0	1.0
272	28.0	2.0	1.0
273	0.0	2.0	1.0
274	11.0	3.0	1.0
275	-1.0	0.0	-1.0
276	-1.0	0.0	0.0
277	-1.0	0.0	-1.0
278	-1.0	0.0	-1.0
279	28.0	3.0	1.0
280	15.0	2.0	1.0
281	-1.0	0.0	-1.0
282	-1.0	0.0	0.0
283	22.0	3.0	1.0
284	0.0	2.0	1.0
285	-1.0	0.0	-1.0
286	9.0	2.0	1.0
287	-1.0	0.0	-1.0
288	-1.0	0.0	0.0
289	-1.0	0.0	-1.0
290	27.0	3.0	1.0
291	19.0	2.0	1.0
292	-1.0	0.0	-1.0
293	22.0	2.0	1.0
294	23.0	2.0	1.0
295	-1.0	0.0	-1.0
296	-1.0	0.0	0.0
297	18.0	3.0	1.0
298	25.0	3.0	1.0
299	-1.0	0.0	-1.0
300	15.0	2.0	1.0
301	-1.0	0.0	-1.0
302	17.0	3.0	1.0
303	-1.0	0.0	-1.0
304	11.0	3.0	1.0
305	26.0	2.0	1.0
306	-1.0	0.0	0.0
307	-1.0	0.0	0.0
308	-1.0	0.0	-1.0
309	22.0	3.0	1.0
310	19.0	3.0	1.0
311	24.0	3.0	1.0
312	0.0	2.0	1.0
313	25.0	3.0	1.0
314	0.0	2.0	1.0
315	0.0	2.0	1.0
316	-1.0	0.0	0.0
317	-1.0	0.0	-1.0
318	0.0	2.0	1.0
319	0.0	2.0	1.0
320	-1.0	0.0	-1.0
321	0.0	2.0	1.0
322	15.0	2.0	1.0
323	26.0	3.0	1.0
324	-1.0	0.0	0.0
325	0.0	2.0	1.0
326	-1.0	0.0	-1.0
327	24.0	3.0	1.0
328	-1.0	0.0	-1.0
329	0.0	2.0	1.0
330	-1.0	0.0	0.0
331	-1.0	0.0	-1.0
332	27.0	2.0	1.0
333	23.0	2.0	1.0
334	-1.0	0.0	-1.0
335	-1.0	0.0	0.0
336	0.0	2.0	1.0
337	-1.0	0.0	-1.0
338	-1.0	0.0	-1.0
339	-1.0	0.0	-1.0
340	-1.0	0.0	-1.0
341	-1.0	0.0	-1.0
342	23.0	3.0	1.0
343	-1.0	0.0	-1.0
344	23.0	2.0	1.0
345	10.0	3.0	1.0
346	0.0	2.0	1.0
347	11.0	3.0	1.0
348	-1.0	0.0	-1.0
349	21.0	3.0	1.0
350	9.0	2.0	1.0
351	-1.0	0.0	-1.0
352	-1.0	0.0	-1.0
353	-1.0	0.0	-1.0
354	19.0	3.0	1.0
355	23.0	3.0	1.0
356	8.0	2.0	1.0
357	-1.0	0.0	-1.0
358	-1.0	0.0	-1.0
359	-1.0	0.0	-1.0
360	-1.0	0.0	0.0
361	-1.0	0.0	-1.0
362	10.0	2.0	1.0
363	14.0	3.0	1.0
364	-1.0	0.0	0.0
365	-1.0	0.0	-1.0
366	-1.0	0.0	0.0
367	24.0	2.0	1.0
368	13.0	3.0	1.0
369	-1.0	0.0	-1.0
370	-1.0	0.0	0.0
371	18.0	2.0	1.0
372	22.0	2.0	1.0
373	-1.0	0.0	-1.0
374	0.0	2.0	1.0
375	10.0	2.0	1.0
376	28.0	3.0	1.0
377	-1.0	0.0	-1.0
378	0.0	2.0	1.0
379	0.0	2.0	1.0
380	-1.0	0.0	-1.0
381	0.0	2.0	1.0
382	11.0	2.0	1.0
383	17.0	2.0	1.0
384	-1.0	0.0	-1.0
385	0.0	2.0	1.0
386	23.0	2.0	1.0
387	11.0	2.0	1.0
388	-1.0	0.0	0.0
389	-1.0	0.0	-1.0
390	8.0	2.0	1.0
391	28.0	3.0	1.0
392	-1.0	0.0	0.0
393	-1.0	0.0	0.0
394	-1.0	0.0	-1.0
395	8.0	2.0	1.0
396	-1.0	0.0	-1.0
397	24.0	2.0	1.0
398	24.0	2.0	1.0
399	-1.0	0.0	0.0
400	19.0	2.0	1.0
401	0.0	2.0	1.0
402	-1.0	0.0	-1.0
403	-1.0	0.0	0.0
404	-1.0	0.0	-1.0
405	-1.0	0.0	-1.0
406	-1.0	0.0	-1.0
407	0.0	2.0	1.0
408	15.0	2.0	1.0
409	0.0	2.0	1.0
410	28.0	3.0	1.0
411	0.0	2.0	1.0
412	23.0	2.0	1.0
413	16.0	2.0	1.0
414	11.0	3.0	1.0
415	12.0	2.0	1.0
416	22.0	2.0	1.0
417	10.0	3.0	1.0
418	-1.0	0.0	0.0
419	-1.0	0.0	0.0
420	-1.0	0.0	-1.0
421	18.0	3.0	1.0
422	15.0	3.0	1.0
423	-1.0	0.0	-1.0
424	10.0	3.0	1.0
425	-1.0	0.0	0.0
426	11.0	3.0	1.0
427	-1.0	0.0	-1.0
