5	2515
6	157
8	1516
28	9892
32	598
36	12498
39	8874
54	4004
65	2952
73	3308
91	375
101	3772
109	1082
125	5258
127	13344
133	412
145	811
163	3998
179	1657
181	1277
187	518
205	2099
219	679
223	6078
224	1767
232	2436
235	3618
238	4017
247	1393
250	5135
254	7775
260	6688
265	2901
266	432
271	2338
274	6880
275	18248
293	1117
319	3330
328	5965
360	7002
376	9034
390	8664
416	2178
423	5975
425	5908
448	2226
455	16520
471	15336
477	847
493	2586
498	25867
535	4840
536	5671
546	11390
577	2203
578	1703
594	6465
595	5788
604	3165
