index outport cost SuccessFlag
221 10.0 3.0 1.0
222 -1.0 0.0 -1.0
223 17.0 2.0 1.0
224 -1.0 0.0 -1.0
225 -1.0 0.0 -1.0
226 0.0 2.0 1.0
227 15.0 4.0 1.0
228 0.0 2.0 1.0
229 22.0 4.0 1.0
230 -1.0 0.0 -1.0
231 0.0 2.0 1.0
232 0.0 2.0 1.0
233 9.0 1.0 1.0
234 0.0 2.0 1.0
235 10.0 3.0 1.0
236 0.0 2.0 1.0
237 0.0 2.0 1.0
238 25.0 4.0 1.0
239 -1.0 0.0 -1.0
240 9.0 1.0 1.0
241 25.0 2.0 1.0
242 0.0 2.0 1.0
243 10.0 3.0 1.0
244 0.0 2.0 1.0
245 19.0 4.0 1.0
246 0.0 0.0 0.0
247 11.0 4.0 1.0
248 17.0 2.0 1.0
249 0.0 2.0 1.0
250 -1.0 0.0 -1.0
251 10.0 2.0 1.0
252 -1.0 0.0 -1.0
253 -1.0 0.0 -1.0
254 -1.0 0.0 -1.0
255 22.0 2.0 1.0
256 18.0 2.0 1.0
257 0.0 2.0 1.0
258 15.0 4.0 1.0
259 -1.0 0.0 -1.0
260 17.0 2.0 1.0
261 15.0 4.0 1.0
262 -1.0 0.0 -1.0
263 22.0 2.0 1.0
264 0.0 2.0 1.0
265 0.0 2.0 1.0
266 -1.0 0.0 -1.0
267 22.0 4.0 1.0
268 18.0 3.0 1.0
269 22.0 2.0 1.0
270 10.0 2.0 1.0
271 23.0 2.0 1.0
272 17.0 2.0 1.0
273 -1.0 0.0 -1.0
274 0.0 2.0 1.0
275 18.0 4.0 1.0
276 22.0 4.0 1.0
277 8.0 4.0 1.0
278 -1.0 0.0 -1.0
279 22.0 2.0 1.0
280 8.0 4.0 1.0
281 25.0 2.0 1.0
282 15.0 4.0 1.0
283 10.0 3.0 1.0
284 -1.0 0.0 -1.0
285 15.0 4.0 1.0
286 17.0 2.0 1.0
287 -1.0 0.0 -1.0
288 22.0 4.0 1.0
289 -1.0 0.0 -1.0
290 -1.0 0.0 -1.0
291 -1.0 0.0 -1.0
292 15.0 4.0 1.0
293 22.0 2.0 1.0
294 0.0 3.0 1.0
295 -1.0 0.0 -1.0
296 22.0 4.0 1.0
297 0.0 0.0 0.0
298 22.0 3.0 1.0
299 -1.0 0.0 -1.0
300 0.0 2.0 1.0
301 -1.0 0.0 -1.0
302 -1.0 0.0 -1.0
303 25.0 2.0 1.0
304 -1.0 0.0 -1.0
305 -1.0 0.0 -1.0
306 10.0 3.0 1.0
307 -1.0 0.0 -1.0
308 25.0 2.0 1.0
309 0.0 2.0 1.0
310 0.0 2.0 1.0
311 0.0 0.0 0.0
312 23.0 4.0 1.0
313 25.0 2.0 1.0
314 -1.0 0.0 -1.0
315 -1.0 0.0 -1.0
316 8.0 4.0 1.0
317 -1.0 0.0 -1.0
318 0.0 2.0 1.0
319 -1.0 0.0 -1.0
320 15.0 4.0 1.0
321 18.0 2.0 1.0
322 18.0 3.0 1.0
323 0.0 2.0 1.0
324 8.0 4.0 1.0
325 -1.0 0.0 -1.0
326 -1.0 0.0 -1.0
327 0.0 2.0 1.0
328 0.0 2.0 1.0
329 18.0 3.0 1.0
330 10.0 3.0 1.0
331 0.0 2.0 1.0
332 22.0 2.0 1.0
333 17.0 4.0 1.0
334 -1.0 0.0 -1.0
335 -1.0 0.0 -1.0
336 -1.0 0.0 -1.0
337 -1.0 0.0 -1.0
338 22.0 4.0 1.0
339 -1.0 0.0 -1.0
340 -1.0 0.0 -1.0
341 8.0 2.0 1.0
342 8.0 2.0 1.0
343 17.0 2.0 1.0
344 25.0 2.0 1.0
345 17.0 4.0 1.0
346 0.0 0.0 0.0
347 -1.0 0.0 -1.0
348 -1.0 0.0 -1.0
349 24.0 4.0 1.0
350 -1.0 0.0 -1.0
351 -1.0 0.0 -1.0
352 24.0 4.0 1.0
353 10.0 2.0 1.0
354 -1.0 0.0 -1.0
355 -1.0 0.0 -1.0
356 22.0 4.0 1.0
357 0.0 0.0 0.0
358 17.0 2.0 1.0
359 23.0 4.0 1.0
360 10.0 3.0 1.0
361 0.0 2.0 1.0
362 -1.0 0.0 -1.0
363 26.0 2.0 1.0
364 9.0 1.0 1.0
365 15.0 4.0 1.0
366 15.0 4.0 1.0
367 15.0 4.0 1.0
368 -1.0 0.0 -1.0
369 22.0 4.0 1.0
370 10.0 3.0 1.0
371 0.0 2.0 1.0
372 0.0 2.0 1.0
373 -1.0 0.0 -1.0
374 22.0 4.0 1.0
375 10.0 2.0 1.0
376 0.0 2.0 1.0
377 -1.0 0.0 -1.0
378 -1.0 0.0 -1.0
379 -1.0 0.0 -1.0
380 -1.0 0.0 -1.0
381 10.0 3.0 1.0
382 -1.0 0.0 -1.0
383 -1.0 0.0 -1.0
384 -1.0 0.0 -1.0
385 18.0 4.0 1.0
386 0.0 2.0 1.0
387 22.0 2.0 1.0
388 18.0 3.0 1.0
389 0.0 2.0 1.0
390 -1.0 0.0 -1.0
391 8.0 2.0 1.0
392 10.0 3.0 1.0
393 15.0 4.0 1.0
394 -1.0 0.0 -1.0
395 -1.0 0.0 -1.0
396 -1.0 0.0 -1.0
397 0.0 0.0 0.0
398 -1.0 0.0 -1.0
399 -1.0 0.0 -1.0
400 -1.0 0.0 -1.0
401 -1.0 0.0 -1.0
402 23.0 2.0 1.0
403 -1.0 0.0 -1.0
404 -1.0 0.0 -1.0
405 -1.0 0.0 -1.0
406 0.0 2.0 1.0
407 26.0 2.0 1.0
408 0.0 2.0 1.0
409 0.0 2.0 1.0
410 10.0 3.0 1.0
411 -1.0 0.0 -1.0
412 -1.0 0.0 -1.0
413 10.0 2.0 1.0
414 -1.0 0.0 -1.0
415 23.0 2.0 1.0
416 0.0 2.0 1.0
417 24.0 4.0 1.0
418 22.0 3.0 1.0
419 0.0 2.0 1.0
420 23.0 2.0 1.0
421 0.0 2.0 1.0
422 -1.0 0.0 -1.0
423 0.0 2.0 1.0
424 -1.0 0.0 -1.0
425 -1.0 0.0 -1.0
426 -1.0 0.0 -1.0
427 10.0 3.0 1.0
428 0.0 2.0 1.0
429 0.0 0.0 0.0
430 -1.0 0.0 -1.0
431 -1.0 0.0 -1.0
432 0.0 2.0 1.0
433 17.0 2.0 1.0
434 -1.0 0.0 -1.0
435 0.0 2.0 1.0
436 10.0 3.0 1.0
437 10.0 3.0 1.0
438 26.0 2.0 1.0
439 0.0 2.0 1.0
440 0.0 2.0 1.0
441 -1.0 0.0 -1.0
442 -1.0 0.0 -1.0
443 10.0 2.0 1.0
444 -1.0 0.0 -1.0
445 -1.0 0.0 -1.0
446 -1.0 0.0 -1.0
447 0.0 2.0 1.0
448 0.0 2.0 1.0
449 -1.0 0.0 -1.0
450 17.0 2.0 1.0
451 -1.0 0.0 -1.0
452 -1.0 0.0 -1.0
453 0.0 2.0 1.0
454 0.0 2.0 1.0
455 -1.0 0.0 -1.0
456 -1.0 0.0 -1.0
457 -1.0 0.0 -1.0
458 24.0 4.0 1.0
459 -1.0 0.0 -1.0
460 -1.0 0.0 -1.0
461 17.0 2.0 1.0
462 -1.0 0.0 -1.0
463 -1.0 0.0 -1.0
464 8.0 2.0 1.0
465 22.0 4.0 1.0
466 25.0 2.0 1.0
467 0.0 2.0 1.0
468 -1.0 0.0 -1.0
469 0.0 2.0 1.0
470 0.0 2.0 1.0
471 24.0 4.0 1.0
472 15.0 4.0 1.0
473 -1.0 0.0 -1.0
474 10.0 4.0 1.0
475 -1.0 0.0 -1.0
476 8.0 2.0 1.0
477 -1.0 0.0 -1.0
478 -1.0 0.0 -1.0
479 -1.0 0.0 -1.0
480 15.0 4.0 1.0
481 10.0 3.0 1.0
482 -1.0 0.0 -1.0
483 25.0 4.0 1.0
484 -1.0 0.0 -1.0
485 -1.0 0.0 -1.0
486 -1.0 0.0 -1.0
487 9.0 1.0 1.0
488 17.0 2.0 1.0
489 0.0 2.0 1.0
490 0.0 0.0 0.0
491 24.0 4.0 1.0
492 9.0 1.0 1.0
493 -1.0 0.0 -1.0
494 0.0 2.0 1.0
495 0.0 0.0 0.0
496 18.0 3.0 1.0
497 -1.0 0.0 -1.0
498 -1.0 0.0 -1.0
499 18.0 3.0 1.0
500 22.0 2.0 1.0
501 10.0 3.0 1.0
502 0.0 2.0 1.0
503 -1.0 0.0 -1.0
504 -1.0 0.0 -1.0
505 -1.0 0.0 -1.0
506 -1.0 0.0 -1.0
507 23.0 2.0 1.0
508 25.0 2.0 1.0
509 22.0 3.0 1.0
510 9.0 1.0 1.0
511 -1.0 0.0 -1.0
512 26.0 2.0 1.0
513 22.0 4.0 1.0
514 -1.0 0.0 -1.0
515 -1.0 0.0 -1.0
516 0.0 2.0 1.0
517 -1.0 0.0 -1.0
518 0.0 2.0 1.0
519 -1.0 0.0 -1.0
520 10.0 3.0 1.0
521 10.0 2.0 1.0
522 15.0 4.0 1.0
523 22.0 4.0 1.0
524 26.0 2.0 1.0
525 17.0 2.0 1.0
526 0.0 2.0 1.0
527 -1.0 0.0 -1.0
528 22.0 3.0 1.0
529 -1.0 0.0 -1.0
530 18.0 3.0 1.0
531 15.0 4.0 1.0
532 -1.0 0.0 -1.0
533 -1.0 0.0 -1.0
534 0.0 2.0 1.0
535 8.0 4.0 1.0
536 -1.0 0.0 -1.0
537 -1.0 0.0 -1.0
538 -1.0 0.0 -1.0
539 17.0 2.0 1.0
540 -1.0 0.0 -1.0
541 26.0 4.0 1.0
542 23.0 4.0 1.0
543 25.0 2.0 1.0
544 -1.0 0.0 -1.0
545 18.0 3.0 1.0
546 -1.0 0.0 -1.0
547 0.0 2.0 1.0
548 0.0 2.0 1.0
549 -1.0 0.0 -1.0
550 0.0 2.0 1.0
551 18.0 3.0 1.0
552 0.0 2.0 1.0
553 25.0 2.0 1.0
554 22.0 3.0 1.0
555 -1.0 0.0 -1.0
556 8.0 4.0 1.0
557 -1.0 0.0 -1.0
558 -1.0 0.0 -1.0
559 -1.0 0.0 -1.0
560 -1.0 0.0 -1.0
561 -1.0 0.0 -1.0
562 -1.0 0.0 -1.0
563 0.0 0.0 0.0
564 0.0 0.0 0.0
565 8.0 2.0 1.0
566 -1.0 0.0 -1.0
567 8.0 2.0 1.0
568 -1.0 0.0 -1.0
569 18.0 2.0 1.0
570 -1.0 0.0 -1.0
571 -1.0 0.0 -1.0
572 22.0 2.0 1.0
573 -1.0 0.0 -1.0
574 22.0 3.0 1.0
575 25.0 2.0 1.0
576 18.0 3.0 1.0
577 -1.0 0.0 -1.0
578 17.0 2.0 1.0
579 22.0 4.0 1.0
580 -1.0 0.0 -1.0
581 -1.0 0.0 -1.0
582 -1.0 0.0 -1.0
583 -1.0 0.0 -1.0
584 17.0 2.0 1.0
585 0.0 2.0 1.0
586 8.0 4.0 1.0
587 11.0 4.0 1.0
588 0.0 2.0 1.0
589 -1.0 0.0 -1.0
590 -1.0 0.0 -1.0
591 0.0 2.0 1.0
592 -1.0 0.0 -1.0
593 -1.0 0.0 -1.0
594 -1.0 0.0 -1.0
595 0.0 2.0 1.0
596 8.0 2.0 1.0
597 -1.0 0.0 -1.0
598 22.0 2.0 1.0
599 -1.0 0.0 -1.0
600 -1.0 0.0 -1.0
601 -1.0 0.0 -1.0
602 10.0 3.0 1.0
603 23.0 4.0 1.0
604 17.0 2.0 1.0
605 0.0 2.0 1.0
606 -1.0 0.0 -1.0
607 0.0 2.0 1.0
608 18.0 3.0 1.0
609 -1.0 0.0 -1.0
610 0.0 2.0 1.0
611 0.0 2.0 1.0
612 25.0 2.0 1.0
613 23.0 2.0 1.0
614 15.0 4.0 1.0
615 -1.0 0.0 -1.0
616 10.0 3.0 1.0
617 0.0 2.0 1.0
618 10.0 3.0 1.0
619 18.0 3.0 1.0
620 11.0 4.0 1.0
621 23.0 2.0 1.0
622 -1.0 0.0 -1.0
623 15.0 4.0 1.0
624 22.0 2.0 1.0
625 23.0 3.0 1.0
626 12.0 4.0 1.0
627 26.0 2.0 1.0
628 -1.0 0.0 -1.0
629 -1.0 0.0 -1.0
630 0.0 2.0 1.0
631 9.0 1.0 1.0
632 -1.0 0.0 -1.0
633 15.0 4.0 1.0
634 0.0 2.0 1.0
635 -1.0 0.0 -1.0
636 0.0 2.0 1.0
637 -1.0 0.0 -1.0
638 -1.0 0.0 -1.0
639 -1.0 0.0 -1.0
640 10.0 2.0 1.0
641 23.0 2.0 1.0
642 0.0 2.0 1.0
643 -1.0 0.0 -1.0
644 9.0 1.0 1.0
645 8.0 2.0 1.0
646 18.0 3.0 1.0
647 -1.0 0.0 -1.0
648 10.0 3.0 1.0
649 -1.0 0.0 -1.0
650 9.0 1.0 1.0
651 23.0 3.0 1.0
652 -1.0 0.0 -1.0
653 -1.0 0.0 -1.0
654 8.0 4.0 1.0
655 -1.0 0.0 -1.0
656 22.0 4.0 1.0
657 10.0 3.0 1.0
658 0.0 2.0 1.0
659 0.0 2.0 1.0
660 -1.0 0.0 -1.0
661 0.0 2.0 1.0
662 10.0 3.0 1.0
663 0.0 2.0 1.0
664 24.0 4.0 1.0
665 -1.0 0.0 -1.0
666 26.0 2.0 1.0
667 0.0 2.0 1.0
668 0.0 2.0 1.0
669 0.0 2.0 1.0
670 23.0 3.0 1.0
671 -1.0 0.0 -1.0
672 -1.0 0.0 -1.0
