SuccessFlag cost index outport
0.0 0.0 223 -1.0
0.0 0.0 224 -1.0
0.0 0.0 225 -1.0
1.0 2.0 226 0.0
1.0 3.0 227 16.0
1.0 2.0 228 0.0
1.0 3.0 229 26.0
0.0 0.0 230 -1.0
1.0 2.0 231 0.0
1.0 2.0 232 0.0
1.0 3.0 233 13.0
1.0 2.0 234 0.0
1.0 2.0 235 12.0
1.0 2.0 236 0.0
1.0 2.0 237 0.0
1.0 3.0 238 24.0
0.0 0.0 239 -1.0
1.0 3.0 240 13.0
1.0 2.0 241 24.0
1.0 2.0 242 0.0
1.0 2.0 243 8.0
1.0 2.0 244 0.0
0.0 0.0 245 -1.0
1.0 3.0 246 21.0
1.0 3.0 247 9.0
1.0 2.0 248 18.0
1.0 2.0 249 0.0
0.0 0.0 250 -1.0
1.0 2.0 251 8.0
1.0 3.0 252 13.0
0.0 0.0 253 -1.0
0.0 0.0 254 -1.0
1.0 2.0 255 22.0
0.0 0.0 256 -1.0
0.0 0.0 257 -1.0
1.0 3.0 258 16.0
0.0 0.0 259 -1.0
1.0 2.0 260 15.0
1.0 3.0 261 16.0
0.0 0.0 262 -1.0
1.0 2.0 263 24.0
1.0 2.0 264 0.0
0.0 0.0 265 -1.0
0.0 0.0 266 -1.0
1.0 3.0 267 26.0
1.0 2.0 268 17.0
1.0 2.0 269 25.0
1.0 2.0 270 12.0
0.0 0.0 271 -1.0
0.0 0.0 272 -1.0
0.0 0.0 273 -1.0
1.0 2.0 274 0.0
1.0 3.0 275 16.0
0.0 0.0 276 -1.0
1.0 3.0 277 11.0
0.0 0.0 278 -1.0
1.0 2.0 279 22.0
1.0 3.0 280 8.0
1.0 2.0 281 23.0
1.0 3.0 282 15.0
0.0 0.0 283 -1.0
1.0 3.0 284 13.0
1.0 3.0 285 16.0
1.0 2.0 286 19.0
0.0 0.0 287 -1.0
1.0 3.0 288 26.0
0.0 0.0 289 -1.0
0.0 0.0 290 -1.0
0.0 0.0 291 -1.0
1.0 3.0 292 18.0
1.0 2.0 293 22.0
1.0 2.0 294 0.0
0.0 0.0 295 -1.0
1.0 3.0 296 26.0
1.0 3.0 297 21.0
0.0 0.0 298 -1.0
0.0 0.0 299 -1.0
1.0 2.0 300 0.0
0.0 0.0 301 -1.0
0.0 0.0 302 -1.0
0.0 0.0 303 -1.0
0.0 0.0 304 -1.0
0.0 0.0 305 -1.0
0.0 0.0 306 -1.0
0.0 0.0 307 -1.0
1.0 2.0 308 24.0
1.0 2.0 309 0.0
1.0 2.0 310 0.0
0.0 0.0 311 -1.0
1.0 3.0 312 26.0
1.0 2.0 313 23.0
0.0 0.0 314 -1.0
0.0 0.0 315 -1.0
1.0 3.0 316 11.0
0.0 0.0 317 -1.0
1.0 2.0 318 0.0
0.0 0.0 319 -1.0
1.0 3.0 320 15.0
1.0 2.0 321 18.0
1.0 2.0 322 20.0
1.0 2.0 323 0.0
1.0 3.0 324 11.0
0.0 0.0 325 -1.0
0.0 0.0 326 -1.0
0.0 0.0 327 -1.0
1.0 2.0 328 0.0
0.0 0.0 329 -1.0
1.0 2.0 330 8.0
1.0 2.0 331 0.0
1.0 2.0 332 22.0
1.0 3.0 333 16.0
0.0 0.0 334 -1.0
0.0 0.0 335 -1.0
0.0 0.0 336 -1.0
0.0 0.0 337 -1.0
0.0 0.0 338 -1.0
0.0 0.0 339 -1.0
0.0 0.0 340 -1.0
1.0 2.0 341 9.0
1.0 2.0 342 10.0
0.0 0.0 343 -1.0
1.0 2.0 344 27.0
1.0 3.0 345 16.0
0.0 0.0 346 -1.0
0.0 0.0 347 -1.0
0.0 0.0 348 -1.0
1.0 3.0 349 26.0
0.0 0.0 350 -1.0
0.0 0.0 351 -1.0
0.0 0.0 352 -1.0
0.0 0.0 353 -1.0
0.0 0.0 354 -1.0
0.0 0.0 355 -1.0
1.0 3.0 356 26.0
0.0 0.0 357 -1.0
1.0 2.0 358 18.0
1.0 3.0 359 23.0
0.0 0.0 360 -1.0
1.0 2.0 361 0.0
0.0 0.0 362 -1.0
