SuccessFlag cost index outport
1.0 2.0 125 0.0
0.0 0.0 126 -1.0
0.0 0.0 127 -1.0
0.0 0.0 128 -1.0
1.0 1.0 129 9.0
0.0 0.0 130 -1.0
1.0 3.0 131 21.0
1.0 2.0 132 0.0
1.0 2.0 133 0.0
1.0 2.0 134 11.0
1.0 1.0 135 18.0
1.0 1.0 136 18.0
1.0 2.0 137 0.0
1.0 3.0 138 18.0
0.0 0.0 139 -1.0
1.0 1.0 140 9.0
1.0 2.0 141 8.0
1.0 2.0 142 0.0
1.0 2.0 143 22.0
1.0 2.0 144 22.0
1.0 1.0 145 19.0
1.0 1.0 146 18.0
1.0 2.0 147 0.0
1.0 2.0 148 8.0
1.0 3.0 149 21.0
1.0 3.0 150 18.0
1.0 2.0 151 0.0
1.0 3.0 152 0.0
1.0 2.0 153 0.0
0.0 0.0 154 -1.0
1.0 3.0 155 18.0
0.0 0.0 156 -1.0
1.0 2.0 157 0.0
1.0 1.0 158 9.0
1.0 1.0 159 18.0
1.0 4.0 160 21.0
1.0 1.0 161 27.0
1.0 1.0 162 27.0
1.0 2.0 163 11.0
0.0 0.0 164 -1.0
1.0 1.0 165 10.0
1.0 2.0 166 0.0
1.0 3.0 167 0.0
1.0 2.0 168 22.0
1.0 1.0 169 10.0
0.0 0.0 170 0.0
1.0 1.0 171 10.0
1.0 2.0 172 22.0
1.0 3.0 173 0.0
1.0 2.0 174 0.0
1.0 2.0 175 0.0
0.0 0.0 176 -1.0
1.0 3.0 177 18.0
0.0 0.0 178 -1.0
1.0 3.0 179 18.0
1.0 2.0 180 0.0
1.0 2.0 181 0.0
1.0 2.0 182 0.0
1.0 2.0 183 24.0
1.0 0.0 184 23.0
1.0 2.0 185 0.0
1.0 1.0 186 19.0
1.0 1.0 187 19.0
0.0 0.0 188 -1.0
1.0 0.0 189 23.0
0.0 0.0 190 -1.0
1.0 2.0 191 15.0
0.0 0.0 192 -1.0
0.0 0.0 193 -1.0
1.0 1.0 194 9.0
1.0 2.0 195 24.0
1.0 2.0 196 0.0
1.0 1.0 197 27.0
1.0 2.0 198 0.0
0.0 0.0 199 -1.0
0.0 0.0 200 -1.0
1.0 1.0 201 18.0
0.0 0.0 202 -1.0
1.0 2.0 203 15.0
1.0 2.0 204 24.0
1.0 2.0 205 11.0
1.0 1.0 206 18.0
1.0 1.0 207 18.0
1.0 1.0 208 18.0
1.0 0.0 209 9.0
1.0 2.0 210 11.0
1.0 3.0 211 14.0
1.0 2.0 212 0.0
1.0 2.0 213 11.0
1.0 2.0 214 24.0
1.0 3.0 215 22.0
1.0 3.0 216 0.0
0.0 0.0 217 -1.0
0.0 0.0 218 0.0
1.0 1.0 219 27.0
1.0 3.0 220 0.0
1.0 2.0 221 11.0
1.0 0.0 222 22.0
1.0 2.0 223 15.0
0.0 0.0 224 -1.0
1.0 2.0 225 0.0
1.0 2.0 226 0.0
1.0 1.0 227 18.0
1.0 2.0 228 0.0
0.0 0.0 229 -1.0
0.0 0.0 230 -1.0
1.0 3.0 231 0.0
1.0 2.0 232 0.0
1.0 1.0 233 10.0
1.0 2.0 234 0.0
1.0 2.0 235 11.0
1.0 2.0 236 0.0
1.0 2.0 237 0.0
1.0 1.0 238 27.0
0.0 0.0 239 -1.0
1.0 1.0 240 10.0
1.0 3.0 241 22.0
1.0 3.0 242 0.0
1.0 3.0 243 7.0
1.0 2.0 244 0.0
1.0 4.0 245 21.0
1.0 1.0 246 19.0
1.0 4.0 247 14.0
1.0 2.0 248 15.0
1.0 2.0 249 0.0
0.0 0.0 250 -1.0
1.0 2.0 251 11.0
0.0 0.0 252 -1.0
0.0 0.0 253 -1.0
0.0 0.0 254 -1.0
1.0 2.0 255 23.0
1.0 3.0 256 14.0
1.0 3.0 257 0.0
1.0 1.0 258 18.0
0.0 0.0 259 -1.0
1.0 2.0 260 15.0
1.0 1.0 261 18.0
0.0 0.0 262 -1.0
1.0 2.0 263 23.0
1.0 3.0 264 0.0
1.0 2.0 265 0.0
0.0 0.0 266 -1.0
0.0 0.0 267 -1.0
1.0 2.0 268 17.0
1.0 2.0 269 23.0
1.0 2.0 270 11.0
1.0 2.0 271 24.0
1.0 2.0 272 15.0
0.0 0.0 273 -1.0
1.0 2.0 274 0.0
1.0 0.0 275 16.0
0.0 0.0 276 -1.0
1.0 1.0 277 9.0
0.0 0.0 278 -1.0
1.0 2.0 279 23.0
1.0 0.0 280 8.0
1.0 3.0 281 22.0
1.0 4.0 282 15.0
1.0 3.0 283 7.0
0.0 0.0 284 -1.0
1.0 1.0 285 18.0
1.0 2.0 286 17.0
0.0 0.0 287 -1.0
0.0 0.0 288 -1.0
0.0 0.0 289 -1.0
0.0 0.0 290 -1.0
0.0 0.0 291 -1.0
1.0 4.0 292 17.0
1.0 2.0 293 23.0
1.0 3.0 294 0.0
0.0 0.0 295 0.0
0.0 0.0 296 -1.0
0.0 0.0 297 -1.0
1.0 3.0 298 22.0
0.0 0.0 299 -1.0
1.0 2.0 300 0.0
1.0 2.0 301 0.0
0.0 0.0 302 -1.0
1.0 3.0 303 22.0
0.0 0.0 304 -1.0
0.0 0.0 305 -1.0
1.0 3.0 306 7.0
0.0 0.0 307 -1.0
1.0 3.0 308 21.0
1.0 2.0 309 0.0
1.0 2.0 310 0.0
0.0 0.0 311 -1.0
0.0 0.0 312 -1.0
1.0 2.0 313 22.0
0.0 0.0 314 -1.0
0.0 0.0 315 -1.0
1.0 1.0 316 9.0
0.0 0.0 317 -1.0
1.0 2.0 318 0.0
0.0 0.0 319 -1.0
1.0 0.0 320 15.0
1.0 3.0 321 14.0
1.0 3.0 322 14.0
1.0 3.0 323 0.0
1.0 1.0 324 9.0
0.0 0.0 325 -1.0
1.0 2.0 326 0.0
1.0 2.0 327 0.0
1.0 2.0 328 0.0
1.0 3.0 329 14.0
1.0 2.0 330 12.0
1.0 3.0 331 0.0
1.0 2.0 332 23.0
1.0 1.0 333 18.0
0.0 0.0 334 -1.0
0.0 0.0 335 -1.0
1.0 3.0 336 0.0
0.0 0.0 337 -1.0
0.0 0.0 338 -1.0
0.0 0.0 339 -1.0
0.0 0.0 340 -1.0
1.0 2.0 341 12.0
1.0 3.0 342 7.0
1.0 3.0 343 17.0
1.0 2.0 344 23.0
1.0 1.0 345 18.0
0.0 0.0 346 -1.0
0.0 0.0 347 0.0
0.0 0.0 348 -1.0
0.0 0.0 349 -1.0
0.0 0.0 350 0.0
0.0 0.0 351 -1.0
1.0 0.0 352 25.0
1.0 2.0 353 12.0
0.0 0.0 354 -1.0
0.0 0.0 355 -1.0
0.0 0.0 356 -1.0
0.0 0.0 357 -1.0
1.0 3.0 358 17.0
1.0 0.0 359 22.0
1.0 3.0 360 7.0
1.0 2.0 361 0.0
0.0 0.0 362 -1.0
1.0 3.0 363 21.0
1.0 1.0 364 10.0
1.0 1.0 365 18.0
1.0 0.0 366 15.0
0.0 0.0 367 -1.0
1.0 2.0 368 0.0
0.0 0.0 369 -1.0
1.0 3.0 370 8.0
1.0 3.0 371 0.0
1.0 2.0 372 0.0
0.0 0.0 373 -1.0
1.0 1.0 374 27.0
1.0 2.0 375 12.0
1.0 3.0 376 0.0
0.0 0.0 377 -1.0
0.0 0.0 378 -1.0
1.0 1.0 379 27.0
0.0 0.0 380 -1.0
1.0 3.0 381 8.0
0.0 0.0 382 -1.0
0.0 0.0 383 -1.0
1.0 2.0 384 0.0
1.0 4.0 385 21.0
1.0 2.0 386 0.0
1.0 2.0 387 22.0
1.0 2.0 388 16.0
1.0 2.0 389 0.0
0.0 0.0 390 0.0
1.0 3.0 391 7.0
1.0 2.0 392 12.0
1.0 1.0 393 18.0
0.0 0.0 394 -1.0
0.0 0.0 395 -1.0
0.0 0.0 396 -1.0
0.0 0.0 397 -1.0
0.0 0.0 398 -1.0
0.0 0.0 399 -1.0
1.0 4.0 400 8.0
1.0 4.0 401 14.0
1.0 3.0 402 21.0
0.0 0.0 403 -1.0
0.0 0.0 404 -1.0
1.0 3.0 405 0.0
1.0 2.0 406 0.0
1.0 2.0 407 22.0
1.0 2.0 408 0.0
1.0 2.0 409 0.0
1.0 2.0 410 11.0
1.0 2.0 411 0.0
1.0 2.0 412 0.0
1.0 3.0 413 8.0
0.0 0.0 414 -1.0
1.0 2.0 415 22.0
1.0 2.0 416 0.0
0.0 0.0 417 -1.0
1.0 3.0 418 21.0
1.0 2.0 419 0.0
1.0 2.0 420 22.0
1.0 2.0 421 0.0
1.0 2.0 422 0.0
1.0 3.0 423 0.0
0.0 0.0 424 -1.0
0.0 0.0 425 -1.0
0.0 0.0 426 0.0
1.0 3.0 427 8.0
1.0 2.0 428 0.0
1.0 1.0 429 19.0
0.0 0.0 430 -1.0
1.0 2.0 431 0.0
1.0 3.0 432 0.0
1.0 3.0 433 19.0
0.0 0.0 434 -1.0
1.0 3.0 435 0.0
1.0 3.0 436 7.0
1.0 2.0 437 12.0
1.0 3.0 438 21.0
1.0 2.0 439 0.0
1.0 2.0 440 0.0
0.0 0.0 441 -1.0
1.0 3.0 442 0.0
1.0 2.0 443 8.0
0.0 0.0 444 -1.0
1.0 3.0 445 0.0
1.0 2.0 446 0.0
1.0 2.0 447 0.0
1.0 2.0 448 0.0
1.0 2.0 449 0.0
1.0 2.0 450 20.0
0.0 0.0 451 -1.0
1.0 0.0 452 15.0
1.0 2.0 453 0.0
1.0 2.0 454 0.0
1.0 2.0 455 0.0
0.0 0.0 456 -1.0
0.0 0.0 457 -1.0
1.0 1.0 458 27.0
1.0 3.0 459 0.0
0.0 0.0 460 -1.0
1.0 2.0 461 20.0
0.0 0.0 462 -1.0
0.0 0.0 463 -1.0
1.0 2.0 464 12.0
0.0 0.0 465 -1.0
